Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,17 to 18 years,U.S. dollars ($),Java; SQL,Groovy; Java; Smalltalk; SQL,1.10E+05
,20 or more years,U.S. dollars ($),C++; C#; JavaScript; SQL,C++; C#; JavaScript; R,NA
,20 or more years,U.S. dollars ($),C; C++; Java; JavaScript,C++; JavaScript,1.65E+05
,12 to 13 years,NA,NA,JavaScript; PHP; SQL,NA
,9 to 10 years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,8 to 9 years,NA,Java; PHP; Python; Ruby; SQL,Clojure; Elixir; Python; Ruby,NA
,11 to 12 years,Brazilian reais (R$),JavaScript; Scala,Haskell; Rust; Scala,113694.2675
,4 to 5 years,U.S. dollars ($),C; JavaScript; Python,NA,38600
,20 or more years,NA,CoffeeScript; Haskell; JavaScript; Python; SQL,Python,NA
,20 or more years,NA,NA,NA,NA
,6 to 7 years,NA,C#,C#; Elixir; F#; Go; Java; JavaScript; Rust; Scala; TypeScript,NA
,3 to 4 years,NA,C; C#; SQL,JavaScript; R,NA
,9 to 10 years,Euros (€),JavaScript; Ruby; Smalltalk,CoffeeScript; Dart; Go,53763.44086
,4 to 5 years,NA,C#; JavaScript; SQL; VB.NET; Visual Basic 6,C#; CoffeeScript; Go; JavaScript; Python; TypeScript,NA
,14 to 15 years,NA,C#; JavaScript; TypeScript,C#; JavaScript; TypeScript,27548.20937
,3 to 4 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C; Go; Objective-C; Ruby; Swift,C; Go; Haskell; Objective-C; Ruby; Rust; Swift,109400
,20 or more years,NA,Java; Scala,Java,NA
,15 to 16 years,NA,NA,NA,NA
,20 or more years,Euros (€),C++; C#,C#,83870.96774
,1 to 2 years,U.S. dollars ($),Python,JavaScript,5.10E+04
,14 to 15 years,Brazilian reais (R$),Java; VB.NET; Visual Basic 6,C#; Java; JavaScript,17515.92357
,10 to 11 years,NA,C; C#; Common Lisp; Clojure; Java; JavaScript; PHP; Python; SQL,Clojure,NA
,20 or more years,NA,C#; Go; SQL,C#; Go; SQL,NA
,2 to 3 years,NA,C; Python,C#; Common Lisp; R; Rust; SQL,NA
,9 to 10 years,British pounds sterling (£),C#,JavaScript,NA
,20 or more years,NA,JavaScript; Python; Ruby; SQL,C; C++; Common Lisp; Python; SQL,NA
,1 to 2 years,British pounds sterling (£),CoffeeScript; JavaScript; Ruby,C++; Elixir,32500
,16 to 17 years,U.S. dollars ($),C; C++; JavaScript; Perl,C; C++; Common Lisp; Clojure; JavaScript; Perl,4.00E+04
,11 to 12 years,NA,Java; SQL,Python; Scala,NA
,5 to 6 years,British pounds sterling (£),C++; C#,C++; F#; Python; Rust; TypeScript,3.00E+04
,2 to 3 years,Euros (€),C#,Assembly; C; C++; C#; Java,NA
,20 or more years,U.S. dollars ($),C#; JavaScript,C#; F#; JavaScript,9.00E+04
,20 or more years,NA,Java; JavaScript; SQL,JavaScript,NA
,3 to 4 years,British pounds sterling (£),VB.NET,C#; Ruby,NA
,4 to 5 years,NA,CoffeeScript; JavaScript; Objective-C; PHP; Python; Ruby; SQL; Swift,C#; R; VB.NET,NA
,14 to 15 years,NA,NA,NA,NA
,11 to 12 years,NA,NA,NA,NA
,5 to 6 years,NA,C#; Java; JavaScript; Python; SQL; TypeScript,C#; Java; JavaScript; Python; SQL; TypeScript,NA
,20 or more years,NA,C#; JavaScript; PHP; SQL,JavaScript; PHP; SQL,NA
,11 to 12 years,U.S. dollars ($),C#; SQL,JavaScript; Scala,1.15E+05
,5 to 6 years,NA,Java; JavaScript; Lua; PHP; R; SQL,Groovy; Java; JavaScript; Lua; SQL; TypeScript,NA
,20 or more years,U.S. dollars ($),C++; C#; Java,Clojure; Groovy; Matlab; Python; SQL,9.30E+04
,14 to 15 years,Euros (€),C#; Java; JavaScript; Python; SQL,Erlang; Python,25806.45161
,18 to 19 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,17 to 18 years,NA,NA,NA,NA
,4 to 5 years,NA,C#; JavaScript; Matlab; PHP; SQL,R; TypeScript,NA
,18 to 19 years,NA,C++,C++,NA
,12 to 13 years,Euros (€),CoffeeScript; JavaScript; PHP; Python; SQL,NA,55107.52688
,5 to 6 years,Indian rupees (?),C++; Java; JavaScript; Matlab; Objective-C; Python; SQL,Dart; Go; Groovy; Java; Python; R; SQL,14682.13185
,17 to 18 years,U.S. dollars ($),C#; JavaScript; PHP; SQL,C#; JavaScript; SQL; TypeScript,92500
,2 to 3 years,British pounds sterling (£),Ruby,Assembly; C; Ruby,32500
,20 or more years,NA,C#; JavaScript; SQL; TypeScript,C#; JavaScript; SQL; TypeScript,NA
,3 to 4 years,Indian rupees (?),NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,19 to 20 years,NA,C; C#; JavaScript,Assembly; C++; Java; Objective-C; SQL,NA
,12 to 13 years,British pounds sterling (£),C++; C#; F#; Haskell; Python; SQL,C; C++; C#; F#; Python; TypeScript,43750
,9 to 10 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,4 to 5 years,NA,C#; Java; JavaScript; Python; Scala; SQL; VBA,NA,51282.05128
,7 to 8 years,NA,NA,NA,NA
,9 to 10 years,Euros (€),SQL,C#; JavaScript,2150.537634
,20 or more years,British pounds sterling (£),C; C++; C#; F#; Haskell; Java; Swift,C; C++; C#; Clojure; F#; Haskell; Java,113750
,9 to 10 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,18 to 19 years,NA,NA,NA,107816.7116
,6 to 7 years,NA,Python,JavaScript; R; Ruby; SQL,NA
,20 or more years,NA,Matlab; VBA,C#; JavaScript; Julia; PHP; SQL; VB.NET; VBA,NA
,12 to 13 years,U.S. dollars ($),Java; JavaScript; Perl; SQL,Java; JavaScript; Perl; SQL,NA
,10 to 11 years,U.S. dollars ($),Java; JavaScript; TypeScript,JavaScript; TypeScript,8.00E+04
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; JavaScript; SQL; TypeScript,100297
,18 to 19 years,Euros (€),JavaScript; PHP; Ruby; SQL,PHP; SQL,46236.55914
,18 to 19 years,NA,JavaScript; Python,JavaScript; Python,NA
,20 or more years,NA,NA,NA,NA
,13 to 14 years,NA,C; C++; Python,Rust,NA
,6 to 7 years,U.S. dollars ($),C#; Java; JavaScript; Python; Ruby; Scala; SQL,Assembly,2.50E+04
,9 to 10 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,13 to 14 years,Euros (€),Go; JavaScript,Go; JavaScript; Scala,NA
,20 or more years,NA,Java; PHP; Python; Ruby; SQL,Go,NA
,20 or more years,NA,JavaScript; Scala,JavaScript; Scala,NA
,12 to 13 years,NA,C#; Java; JavaScript; Python; Scala; SQL; TypeScript,C#; Java; JavaScript; Python; R; Scala; SQL; TypeScript,NA
,14 to 15 years,U.S. dollars ($),JavaScript; PHP; SQL,JavaScript; PHP; SQL,1.00E+05
,12 to 13 years,NA,Java; JavaScript; Perl; PHP; Python; SQL,C; Clojure; Go; JavaScript; Python,NA
,7 to 8 years,Swedish kroner (SEK),NA,NA,47511.31222
,14 to 15 years,NA,Go; JavaScript; SQL,Go; SQL,NA
,6 to 7 years,U.S. dollars ($),Elixir; Java; JavaScript; PHP; SQL,Python; Scala,2.70E+04
,14 to 15 years,U.S. dollars ($),Common Lisp; Java; JavaScript,Dart; Java; JavaScript; Scala,NA
,20 or more years,NA,C; C#; JavaScript; Python; SQL,C#; F#; Go; JavaScript; Python; Rust; TypeScript,NA
,7 to 8 years,NA,C#; Objective-C; Swift,Assembly; C++; C#; F#; Lua; Objective-C; Rust; Swift,NA
,10 to 11 years,U.S. dollars ($),C#; Java; JavaScript; PHP; Ruby; SQL; Swift,C#; Elixir; JavaScript; Swift,1.20E+05
,3 to 4 years,Indian rupees (?),C; Java; JavaScript; PHP; Python,Assembly; C; C++; C#; CoffeeScript; Elixir; Go; JavaScript; PHP; Python; R; Ruby; Scala; SQL; TypeScript,NA
,14 to 15 years,NA,JavaScript; Python,Elixir; Go; JavaScript; Python; Rust,NA
,10 to 11 years,U.S. dollars ($),JavaScript; TypeScript,JavaScript; Julia; Rust; SQL,6.00E+04
,5 to 6 years,NA,C++; C#; Perl,C++; C#; Haskell; JavaScript; Python; Rust,NA
,20 or more years,British pounds sterling (£),JavaScript,Go; JavaScript; Rust,131250
,4 to 5 years,Indian rupees (?),Java; SQL,Java; JavaScript; Perl; Python,6606.95933
,12 to 13 years,NA,CoffeeScript; JavaScript; PHP; SQL,Go; JavaScript; PHP; Rust; Swift,NA
,20 or more years,NA,C#; F#; Go; JavaScript; Scala; SQL; VBA,Elixir; Erlang; Scala; TypeScript,NA
,14 to 15 years,U.S. dollars ($),NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,NA,Objective-C; Swift,JavaScript; Objective-C; Swift,NA
,20 or more years,NA,Java; JavaScript; Python; SQL,C; Java; JavaScript; Python; SQL,NA
,8 to 9 years,Euros (€),Java; JavaScript; PHP,Erlang; Haskell; Python,10752.68817
,16 to 17 years,Canadian dollars (C$),CoffeeScript; Elixir; JavaScript; Ruby; SQL,Elixir; JavaScript; Ruby; SQL; TypeScript,87121.21212
,10 to 11 years,NA,JavaScript,JavaScript,NA
,11 to 12 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),C#; JavaScript,NA,6.60E+04
,2 to 3 years,NA,C++; Java; JavaScript,C++; JavaScript; Ruby; Rust; TypeScript,NA
,20 or more years,NA,C#; JavaScript; SQL,Swift,NA
,20 or more years,U.S. dollars ($),C++; Java; Objective-C; Perl; Python,Objective-C; Python; Swift,1.46E+05
,7 to 8 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,11 to 12 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),NA,NA,NA
,14 to 15 years,Canadian dollars (C$),Groovy; Java; JavaScript; SQL,CoffeeScript; Go; Groovy; Java; JavaScript; Objective-C; Python; Scala,62121.21212
,20 or more years,NA,C; Java; JavaScript; Perl; Python; SQL,C; Java; JavaScript; Perl; SQL,NA
,12 to 13 years,NA,NA,NA,NA
,15 to 16 years,Canadian dollars (C$),C#; JavaScript; SQL,C#; JavaScript; SQL,54545.45455
,3 to 4 years,U.S. dollars ($),C#; Java; JavaScript; Perl; Python; SQL,C++; C#; F#; Haskell; JavaScript; PHP; Python; SQL,NA
,1 to 2 years,Polish zloty (zl),C#; JavaScript; SQL,C#; F#; JavaScript; R; SQL,1481.481481
,8 to 9 years,Euros (€),JavaScript; PHP; SQL,C#; Python,32258.06452
,5 to 6 years,NA,NA,Java; JavaScript; PHP,NA
,10 to 11 years,Euros (€),Python,C#; Python,51612.90323
,4 to 5 years,Indian rupees (?),Go; JavaScript; Python; Ruby,NA,4404.639554
,20 or more years,U.S. dollars ($),C#; SQL,C#; F#; JavaScript; Objective-C; SQL; TypeScript,5.00E+04
,13 to 14 years,U.S. dollars ($),NA,NA,NA
,15 to 16 years,NA,C#; JavaScript; SQL; VBA,C#; JavaScript; SQL; TypeScript,NA
,2 to 3 years,U.S. dollars ($),NA,NA,5.00E+04
,20 or more years,U.S. dollars ($),CoffeeScript; JavaScript; Python,JavaScript; Python,1.85E+05
,20 or more years,NA,C#,NA,NA
,20 or more years,NA,C#; Java; SQL,Ruby,NA
,17 to 18 years,U.S. dollars ($),C#; JavaScript; SQL; TypeScript,C#; JavaScript; SQL; TypeScript,1.60E+05
,20 or more years,U.S. dollars ($),C#; JavaScript; Python; SQL,C#; Go; JavaScript; Python; R; Ruby; SQL,1.02E+05
,7 to 8 years,Polish zloty (zl),Groovy; Java; JavaScript; SQL,NA,NA
,6 to 7 years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,3 to 4 years,NA,C#; Java; JavaScript; SQL,NA,NA
,8 to 9 years,Polish zloty (zl),C++,C++,23703.7037
,20 or more years,U.S. dollars ($),Java; JavaScript; Python; Scala; Swift,Scala,NA
,17 to 18 years,NA,NA,NA,NA
,12 to 13 years,Euros (€),Go; Java; JavaScript; Python; Ruby; Rust; SQL; TypeScript,JavaScript; Ruby; SQL; TypeScript,58064.51613
,3 to 4 years,NA,NA,NA,NA
,18 to 19 years,U.S. dollars ($),C#; Dart; JavaScript,Rust,6.30E+04
,10 to 11 years,U.S. dollars ($),C; VB.NET,C,6.70E+04
,9 to 10 years,NA,NA,NA,NA
,8 to 9 years,U.S. dollars ($),C#; JavaScript; SQL,C#; F#; JavaScript; Python; SQL; TypeScript,8.00E+04
,20 or more years,U.S. dollars ($),SQL,SQL,1.03E+05
,13 to 14 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),C++; Matlab; Python; R; VBA,C++; Python,8.10E+04
,2 to 3 years,NA,Assembly; C; C++; Common Lisp; Java; JavaScript; Perl; Python; SQL,Assembly; C++; Perl; Python; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,15 to 16 years,NA,JavaScript; PHP; Python; SQL,JavaScript; PHP; Python; SQL,NA
,6 to 7 years,Euros (€),C++,Python,2150.537634
,14 to 15 years,NA,NA,NA,NA
,5 to 6 years,U.S. dollars ($),C#; Java; JavaScript; Perl; SQL,C; C++; C#; F#; Java; JavaScript; Scala; SQL; TypeScript,6.50E+04
,12 to 13 years,NA,Java,JavaScript; Python,NA
,5 to 6 years,NA,NA,NA,NA
,12 to 13 years,NA,Objective-C; Swift,Elixir; Swift,NA
,5 to 6 years,NA,C#,C++; C#; JavaScript; Python,NA
,3 to 4 years,NA,C; C++; Java; JavaScript; PHP; Python; SQL,Assembly; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Julia; Lua; Matlab; Objective-C; Perl; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA
,19 to 20 years,NA,JavaScript; Python; SQL,JavaScript; Python; SQL,NA
,9 to 10 years,NA,Java; Lua; Python,Python,NA
,9 to 10 years,Euros (€),Assembly; C; C++; JavaScript,C; JavaScript; Python,NA
,20 or more years,U.S. dollars ($),Assembly; C; C++; C#; SQL; Swift,Assembly; C; C++; C#; Python; SQL,6.50E+04
,4 to 5 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C#; JavaScript; SQL; VBA,C#; JavaScript; TypeScript,63750
,14 to 15 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,7 to 8 years,U.S. dollars ($),Java; JavaScript; Perl; SQL,JavaScript; SQL,5.90E+04
,5 to 6 years,NA,C; C++; C#; CoffeeScript; Haskell; JavaScript; Python; Ruby; Rust; SQL; TypeScript,C#; F#; Go; Haskell; Matlab; Python; R; Ruby; Rust; Scala; SQL; Swift; TypeScript,NA
,13 to 14 years,NA,Assembly; C; C++; C#; Go; Java; JavaScript; Lua; Python; Rust,C; C++; Elixir; Erlang; Go; Lua; Python; Rust,NA
,15 to 16 years,U.S. dollars ($),C#; JavaScript,C#; Scala; TypeScript,1.15E+05
,18 to 19 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,NA,C++; C#; Java; JavaScript; Lua; PHP; Python; SQL; VB.NET,C++; C#; Java; Lua; Python; VB.NET,NA
,20 or more years,NA,C++; Objective-C,Objective-C,NA
,14 to 15 years,Euros (€),Java; JavaScript,Assembly; C; Java; JavaScript; SQL,37634.4086
,20 or more years,U.S. dollars ($),JavaScript; SQL; TypeScript,C++; Java; Python; Scala; TypeScript,1.70E+05
,20 or more years,Canadian dollars (C$),C++; Python,Julia; Python,81060.60606
,20 or more years,NA,C++; C#,C++; C#; Java; JavaScript,NA
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,NA,C#; SQL,C#; Python; SQL,NA
,13 to 14 years,NA,Go; Groovy; Java; JavaScript; Python; Ruby; Scala; SQL,Go; Groovy; Java; SQL,NA
,20 or more years,NA,Java; PHP,Java,NA
,18 to 19 years,British pounds sterling (£),C#; JavaScript; SQL,C#; F#; Go; JavaScript; Swift; TypeScript,77500
,17 to 18 years,U.S. dollars ($),JavaScript,NA,78452
,3 to 4 years,Indian rupees (?),Assembly; Java; JavaScript; PHP; SQL,NA,NA
,9 to 10 years,Indian rupees (?),Java; JavaScript; PHP; Python,Elixir; JavaScript; Python; R; Rust,14682.13185
,10 to 11 years,NA,C#; Java; JavaScript; SQL,C#; Go; Java; JavaScript; R; SQL; TypeScript,NA
,6 to 7 years,Indian rupees (?),C#; JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,NA
,2 to 3 years,NA,SQL,Python; R; SQL,NA
,Less than a year,Indian rupees (?),C; C++; JavaScript; Python,JavaScript; R; Ruby; Swift,NA
,5 to 6 years,Swedish kroner (SEK),Assembly; C; Erlang; Go; Java; Python,NA,NA
,9 to 10 years,NA,Java; JavaScript; PHP; Python; SQL,Java; JavaScript; PHP; Python; SQL,NA
,6 to 7 years,U.S. dollars ($),Objective-C; Python; Ruby; SQL; Swift,C++; Haskell; Rust,1.70E+05
,5 to 6 years,U.S. dollars ($),C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,Assembly,NA
,10 to 11 years,NA,NA,NA,NA
,4 to 5 years,NA,Assembly; C; C++; C#; Java; Matlab; Python,C++; C#; Java; Python,NA
,4 to 5 years,NA,C++; C#; Objective-C,Python; Swift,NA
,3 to 4 years,Canadian dollars (C$),C#; Java; JavaScript; VB.NET,C#; Java; JavaScript,NA
,6 to 7 years,NA,Python; R; Ruby; SQL,C; C#; CoffeeScript; Go; Haskell; JavaScript; Perl; PHP; Python; R; Ruby; SQL,NA
,6 to 7 years,NA,C; Java; JavaScript; Lua; PHP; SQL; VBA; Visual Basic 6,C++; C#; Java; JavaScript; Objective-C; PHP; SQL; Swift; TypeScript; VB.NET; VBA,NA
,5 to 6 years,NA,JavaScript; PHP,JavaScript; PHP,NA
,18 to 19 years,Canadian dollars (C$),C#; JavaScript; Ruby; SQL,C++; C#; Erlang; JavaScript; SQL; Swift,NA
,13 to 14 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,3 to 4 years,NA,JavaScript; PHP; Python,C++; C#; F#; Java,NA
,8 to 9 years,Euros (€),Scala,Scala,NA
,16 to 17 years,NA,JavaScript; Python,JavaScript; Python,NA
,14 to 15 years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL; Swift; TypeScript,NA
,5 to 6 years,NA,Assembly; C++; Matlab; Python,C++; Matlab; Python,NA
,11 to 12 years,U.S. dollars ($),Ruby,Ruby,53300
,17 to 18 years,NA,JavaScript; Python,Python; Swift,NA
,20 or more years,NA,C#; JavaScript; PHP; SQL; TypeScript; VB.NET,F#; Go; Scala,NA
,20 or more years,Euros (€),NA,NA,NA
,16 to 17 years,NA,PHP,C#; Go; PHP; Python,NA
,20 or more years,NA,Python,Python,NA
,14 to 15 years,Euros (€),JavaScript; PHP; SQL,Go; JavaScript; PHP,47419.35484
,20 or more years,U.S. dollars ($),CoffeeScript; JavaScript; Ruby,C#; JavaScript; Ruby; SQL,9.70E+04
,8 to 9 years,NA,Erlang; F#; Java,Elixir; Java; JavaScript; Scala,31548.75717
,20 or more years,NA,C#; SQL,C#; F#; Go,NA
,4 to 5 years,U.S. dollars ($),C#; Java; JavaScript; Objective-C; SQL,Go; Rust,NA
,6 to 7 years,NA,NA,NA,NA
,3 to 4 years,Canadian dollars (C$),C; C++; C#; Python,C; C++; C#; Python,42727.27273
,4 to 5 years,NA,NA,NA,NA
,7 to 8 years,NA,Java; Matlab; Python; SQL,Java; Julia; Python; SQL,1111.316911
,3 to 4 years,Euros (€),Java; JavaScript; SQL,C#,19892.47312
,9 to 10 years,U.S. dollars ($),C#; Go; JavaScript; Lua; SQL; TypeScript,Go; JavaScript; SQL; TypeScript,1.20E+05
,10 to 11 years,NA,NA,NA,NA
,13 to 14 years,Russian rubles (?),Groovy; Java; JavaScript; SQL,Clojure; Groovy; Haskell; Java; Rust,21888.05347
,7 to 8 years,NA,C#; Objective-C; Swift,C#; Objective-C; Swift,NA
,8 to 9 years,Euros (€),C++; JavaScript; Python; Ruby; Scala; SQL,C++; Rust; Scala,59139.78495
,20 or more years,British pounds sterling (£),C++; C#,C++; C#; F#; Python; R; Ruby,62500
,20 or more years,NA,C++; Objective-C; PHP; Swift,C++; Java; Objective-C; PHP; Swift,NA
,2 to 3 years,U.S. dollars ($),Java; JavaScript; SQL,Dart; Java; JavaScript; PHP; Python; SQL,600
,20 or more years,NA,NA,NA,NA
,16 to 17 years,NA,NA,NA,NA
,9 to 10 years,NA,JavaScript; PHP; SQL,Go; Python; SQL,NA
,20 or more years,British pounds sterling (£),Go; Python; Ruby,Go; Python,7.50E+04
